Id,Integration_Pattern__c,Integration_Pattern_Inbound__c,Name
a250l000000oAHUAA2,OBM,SYNC,GETMANDATEDTLS
a250l000000oANxAAM,OBM,SYNC,EXTERNAL_CASE_SUBMIT_FI_CD
a250l000000oAJ6AAM,OBM,SYNC,GETDOCLIST_APP
a250l000000oAJ7AAM,OBM,SYNC,PERFIOS_STATEMENTDONE_APP
a250l000000oAJ8AAM,OBM,SYNC,OFFICE_EMAILVALIDATE_STATUS
a250l000000oAJ9AAM,OBM,SYNC,OFFICE_EMAILVALIDATE
a250l000000oAJAAA2,OBM,SYNC,SEND_TRANSACTIONAL_SMS
a250l000000oAJBAA2,OBM,SYNC,OPENECS
a250l000000oAJCAA2,OBM,SYNC,SENDSMS
a250l000000oAJDAA2,OBM,SYNC,DEDUPE
a250l000000oAJEAA2,OBM,SYNC,EMAILVALIDATE
a250l000000oAIKAA2,OBM,SYNC,LMSVIEWBYCRN
a250l000000oAILAA2,OBM,SYNC,HUNTER
a250l000000oAIMAA2,OBM,SYNC,Hunter-2
a250l000000oAINAA2,OBM,SYNC,EMAILVALIDATECS
a250l000000oAIOAA2,OBM,SYNC,EMAILWEBTABREPORT
a250l000000oAIPAA2,OBM,SYNC,EKYC3
a250l000000oAIQAA2,OBM,SYNC,EKYC2
a250l000000oAIRAA2,OBM,SYNC,EKYC1
a250l000000oAISAA2,OBM,SYNC,CSSendSMS
a250l000000oAITAA2,OBM,SYNC,GetTBLoanRecords
a250l000000oAIUAA2,OBM,SYNC,microSiteOtpStatus
a250l000000oAIVAA2,OBM,SYNC,UPDATE_ISTATEMENT
a250l000000oAIWAA2,OBM,SYNC,APPLOGIN
a250l000000oAIXAA2,OBM,SYNC,BANK_DTLS
a250l000000oAIYAA2,OBM,SYNC,KARZA_OCR_KYC
a250l000000oAIZAA2,OBM,SYNC,GET_HOLD_REASON
a250l000000oAIaAAM,OBM,SYNC,LOS_HOLD_UNHOLD
a250l000000oAIbAAM,OBM,SYNC,HoldDoc
a250l000000oAIcAAM,OBM,SYNC,ESIGN2
a250l000000oAIdAAM,OBM,SYNC,Contact Email Update
a250l000000oAIeAAM,OBM,SYNC,CREDITVIDYA
